!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
titmouse	синица (sinítsa)
to	-ать, -ять, -еть, -ить
to	на; в, к (k) "(words consisting of a consonant)"
to each his own	каждому своё
toad	жаба (f) (1)
toadstool	поганка (pogánka) (f)
tobacco	табак (tabák) (m)
today	сегодня (sevódnja)
today	сегодня (sevódnja), в настоящее время (v nastojáščeje vrémja), теперь (tepér’)
today	сегодня (sevódnja), сегодняшний день (sevódnjašnij den') (m)
toe	палец (palec na noge)
together	вместе (vméste)
toilet	туалет (tualét) (m), уборная (ubórnaja) (f)
toilet	туалет (tualét) (m), уборная (ubórnaja) (f)
toilet	унитаз (unitáz) (m)
toilet paper	уалетная бумага (tualétnaja bumága) (f)
tolerate	допускать (dopuskát’)
toll	позвонить (pozvonít’)
toll	пошлина (póšlina) (f)
tom	индюк (indjúk) (m)
tom	кот (m)
tom cat	кот (kot) (m)
tomato	помидор (pomidór) (m), томат (tomát) (m)
tomorrow	завтра (závtra)
tomorrow	завтра (závtra)
tomorrow night	вчера к ноча (vchera k nocha)
ton	тонна (tónna) (f)
tone	гармонировать (garmonírovat’)
tone	тон (ton) (m)
tone	тон (ton) (m)
tone	тон (ton) (m)
tone	тонус (tónus) (m)
toneme	тонема (tonéma) (f)
tongs	схваты
tongue	язык (jazýk) (m)
tonight	сегодня вечером (sevódnja véčerom)
tonight	сегодняшний вечер (m), наступающая ночь (f)
tonne	тонна (tónna) (f)
tonsillitis	тонзиллит
too many cooks spoil the broth	У семи нянек дитя без глазу
tool	инструмент (instrum'ént) (m), орудие труда (orúdije trudá) (n)
tool	инструмент (instrum'ént) (m), средство (sr'édstvo) (n)
tool	прибор (pribór) (m), аппарат (apparát) (m)
tool	экипировать (ekipírovát’), оборудовать (oborúdovat’), оснащать/оснастить (osnaš'át'/osnastít')
tooth	зуб (zub) (m), зубы (zúby) (p)
tooth	зуб (zub) (m), зубья (zúb’ja) (p); зубец (zubéts) (m), зубцы (zubtsý) (p)
tooth	зуб (zub) (m), зубья (zúb’ja) (p); зубец (zubéts) (m), зубцы (zubtsý) (p)
toothbrush	Зубная щётка
toothpaste	зубная паста
top	вершина (veršína) (f)
topaz	топаз (topáz) (m)
topic	предмет (predmét) (m)
tornado	смерч (smerč) (m), торнадо (tornádo) (m)
torpedo	торпеда /torpéda/ (f)
torpedo	торпедо /torpédo/ (f), электрический скат /el'ektríčeskij skat/ (m)
tortoise	черепаха
total	итог (itóg) (m)
total	сумма (súmma) (f)
toucan	тукан /tukán/ (m)
touch	волноваться (volnovát’sja), взволноваться (vzvolnovát’sja), растрогаться (rastrógat’sja)
touch	общение (obš'énije) (n), контакт (kontákt) (m)
touch	осязание (os'azánije) (n)
touch	прикосновение (prikosnov'énije) (n), касание (kasánije) (n)
touch	стиль (stil') (m), манера (man'éra) (f), штрих (štriχ) (m)
touch	трогать (trógat’), касаться (kasát’sja)
touch	штрих (štriχ) (m)
tough nut to crack	крепкий орешек
tournament	турниры
tow truck	аварийная машина
towel	полотенце (poloténtse) (n)
tower	вышка (výška) (f)
town	город (górod) (m)
toy	игрушка (igrúška) (f)
trachea	трахея (f)
tractor	трактор (tráktor) (m)
tractor	трактор-тягач (tráktor-tjagáč) (m), тягач (tjagáč) (m)
trade	торговля (torgóvlja) (f)
tradition	традиция (tradítsija) (f)
traffic	движение (dvižénije) (n)
tragedy	трагедия (tragédija) (f)
train	поезд (pójezd) (m)
trainer	тренер (m) (trener)
training	тренировка (treniróvka) (f)
trajectory	траектория (trajektórija) (f) (1,2,3)
tram	трамвай
trampoline	батут (batút)
transaction	сделка
transfer	переносить (perenosít’), перенести (perenestí)
transformation	преобразования (preobrazovainja) (f)
transistor	транзистор (tranzístor) (m)
transitive	переходный (pereχódnyj)
transitive verb	переходный глагол (pereχódnyj glagól) (m)
translate	переводить (perevodít’) "impf.", перевести (perevestí) "pf."
translation	перевод (m) (perevod)
translation	перевод (m) (perevod)
translation	переключение, перевод
translation	трансляция (transljátsija) (f)
translations	переводы (mpl)
translator	переводчик (perevódčik) (m)
transliterating	транслитерация
transliteration	транслитерирование (transliterirovaniye) (n)
transparent	прозрачный "(prozračnyj)"
transport	перевозить (perevozít’)
transport	переовозка (p'er'evózka) (f), транспортировка (transportiróvka) (f)
transport	транспорт (tránsport) "ship" (m)
transport	транспортное средство (tránsportnoje sr'édstvo) "ship" (m)
transportation	транспорт (tránsport) (m)
transvestite	трансвестит
trap	западня (zapadnjá) (f)
travel	передвигаться (peredvigát’sja), перемещаться (peremeščát’sja), проходить (proχodít’)
travel	путешествовать (putešéstvovat’)
trazer	принести
treacle	меласса (melássa) (f)
treasure	сокровище (sokróvišče) (n)
treasurer	казначей (kaznačéj)
tree	дерево (dérevo) (n)
tree	дерево (dérevo) (n), деревья (derév’ja) (p)
tree frog	древесница (drevésnitsa) (f)
trial	испытание (ispytánije) (n), неприятность (neprijátnost’) (f)
trial	испытание (ispytánije) (n), опыт (ópyt) (m), проба (próba) (f)
trial	суд (sud) (m), разбирательство (razbirátel’stvo) (n)
triangle	треугольник (treugól’nik) (m)
triangle	треугольник (treugól’nik) (m)
trice	миг (mig) (m)
tricky	каверзный (kav'erznýj), щекотливый (ščekotlívyj)
tricky	пронырливый (pronýrlivyj), ловкий (lóvkij), оборотистый (oborótistyj)
trillion	триллион
trilobite	трилоби́ты (mpl)
trinitrotoluene	тринитротолуол (trinitrotoluól) (m), тротил (trotíl) (m)
trinity	троица (troitsa)
trip	поездка (pojézdka) (f)
tripod	тренога (f), треножник (m), штатив (m)
triticale	тритика́ле (tritikále) (f)
trivial	тривиальный (triviál’nyj)
trivial name	тривиальное наименование (n)
trouble	беспокойство (bespokójstvo) (n)
trough	канава (kanáva) (f)
trough	корыто (korýto) (n), лохань (loχán') (f)
trouser leg	штани́на (štanína) (f)
trousers	брюки (brjúki) (f) (p)
trout	форель (forél’) (f)
truck	грузовик (gruzovík) (m)
true	верный (vérnyj)
true	верный (vérnyj),истинный (ístinnyj), правдивый (pravdívyj)
true	истинный (ístinnyj)
true	истинный (ístinnyj), наcтоящий (nastojáščij)
true	наcтоящий (nastojáščij)
trumpet	играть на трубе (igrát' na trub'é)
trumpet	труба (trubá) (f)
trumpet	трубач (trubáč) (m)
trunk	багажник (bagážnik) (m)
trunk	магистраль (magistrál’) (f), магистральная линия (magistrál’naja línija) (f)
trunk	ствол (stvol) (m)
trunk	сундук (sundúk) (m)
trunk	туловище (túlovišče) (n)
trunk	хобот (khóbot) (m)
truth	правда (právda) (f), истина (ístina) (f)
try	пытаться) (pytát’sja)
tsar	царь (m)
tsarina	царица (tsaritsa)
tsk tsk	ай-ай-ай (ay-ya-yay)
tsunameter	цунаметр (m)
tsunami	цунами (tsunámi) (n)
tuba	туба (túba) (f)
tube	банка
tube	лондонское метро
tube	труба, трубка
tuberculosis	туберкулёз (tub'erkul'óz) (m), чахотка (čaχótka) (f)
tubular	трубчатый, трубообразный
tug	дёргать
tug	рывок (m)
tug	тянуть, тащить)
tug of war	перетягивание каната
tugboat	буксир (m)
tuition	плата за обучение
tulip	тюльпан (m) (tyul'pan)
tumble	обрушиться (obrushit'sya)
tumor	опухоль (ópuχol') (f)
tumultuous	шумный, буйный, возбуждённый
tundra	тундра (túndra) (f)
tung	тунг (tung) (m), тунговое дерево (túngovoje dérevo) (n)
tung oil	тунговое масло (túngovoje máslo) (n)
tung tree	тунг (tung) (m), тунговое дерево (túngovoje dérevo) (n)
tungsten	вольфрам (vol’frám) (m)
turd	говно (n)
turkey	глупец (glupéts) (m), дурак (durák) (m)
turkey	индюк (indjúk) (m), индейка (indéjka) (f)
turkey	провал (provál) (m), фиаско (fiásko) (n)
turn	вращать (vraščát’)
turn in one's grave	перевернуться в гробу
turn into	превратиться
turnip	репа (repa) (f)
turnover	оборот (oborót) (m)
turquoise	бирюза́
turquoise	бирюза́
turquoise	бирюзовый (bir'uzóvyj)
turquoise	бирюзовый (bir'uzóvyj)
turtle	черепаха (čerepaχa) (f)
turtle dove	горлица, горлинка (gorlica, gorlinka) " "
tusk	бивень /bív'en'/ (m)
tutti-frutti	мороженое с фруктами (n), фруктовое мороженое (n)
twat	манда (f)
tweezers	щипцы (ščiptsý) (m) (p), щипчики (ščípčiki) (m) (p)
twelfth	двенадцатый ("abbreviation" 12-ый)
twelve	двенадцать (dvenádtsat’)
twelve-tone technique	метод 12 тонов (metod 12 tonav)
twenty	двадцать (dvádtsat’)
twenty-fifth	двадцать пятый (m) (dvádtsat' pyátyy),  двадцать пятое (n),  двадцать пятая (f)
twenty-four	двадцать четыре (dvádtsat’ četýre)
twenty-one	двадцать один (dvádtsat’ odín)
twenty-two	двадцать два (dvádtsat’ dva)
twice	дважды (dváždy)
twilight	сумерки (súmerki) (p)
twilight	сумерки (súmerki) (p)
twin	близнец (bliznéc) (m)
twist	скручивать (skrúčivat’)
two	"he is two" = ему два года (jemú dva góda)
